domain,domain_label,model_prefix,model_label,seed,rmse,mae,n_test_samples,is_floor,floor_status
amazon_electronics,E-commerce,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment,"No-sentiment floor (BUGGY, do not use)",456,1.251726756667146,0.8662622858310101,16580,True,buggy_constant_column_nmf
amazon_electronics,E-commerce,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment,"No-sentiment floor (BUGGY, do not use)",789,1.3426365852628201,0.981175058558892,16580,True,buggy_constant_column_nmf
amazon_electronics,E-commerce,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment,"No-sentiment floor (BUGGY, do not use)",1011,1.7693403021743952,1.4683628618878681,16580,True,buggy_constant_column_nmf
amazon_electronics,E-commerce,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment_fixed_v2,No-sentiment floor (fixed),42,1.3193281021933017,0.9109011330947675,16580,True,fixed_dropped_column
amazon_electronics,E-commerce,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment_fixed_v2,No-sentiment floor (fixed),123,1.284526063685424,0.8378607322697694,16580,True,fixed_dropped_column
amazon_electronics,E-commerce,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment_fixed_v2,No-sentiment floor (fixed),456,1.249779234870925,0.854667703090537,16580,True,fixed_dropped_column
amazon_electronics,E-commerce,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment_fixed_v2,No-sentiment floor (fixed),789,1.2724278251834165,0.9180771218550404,16580,True,fixed_dropped_column
amazon_electronics,E-commerce,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment_fixed_v2,No-sentiment floor (fixed),1011,1.384800875504741,1.0514140712953002,16580,True,fixed_dropped_column
amazon_electronics,E-commerce,classical_cf_item_knn,Item-KNN,42,1.2240158125010432,0.8311161572668607,16580,False,
amazon_electronics,E-commerce,classical_cf_item_knn,Item-KNN,123,1.2240158125010432,0.8311161572668607,16580,False,
amazon_electronics,E-commerce,classical_cf_item_knn,Item-KNN,456,1.2240158125010432,0.8311161572668607,16580,False,
amazon_electronics,E-commerce,classical_cf_item_knn,Item-KNN,789,1.2240158125010432,0.8311161572668607,16580,False,
amazon_electronics,E-commerce,classical_cf_item_knn,Item-KNN,1011,1.2240158125010432,0.8311161572668607,16580,False,
amazon_electronics,E-commerce,classical_cf_svd,SVD,42,1.1407140438906496,0.8022286117004974,16580,False,
amazon_electronics,E-commerce,classical_cf_svd,SVD,123,1.141979970988657,0.8025863368922465,16580,False,
amazon_electronics,E-commerce,classical_cf_svd,SVD,456,1.142540455566741,0.8034922226059135,16580,False,
amazon_electronics,E-commerce,classical_cf_svd,SVD,789,1.1426632799214191,0.8031603135015766,16580,False,
amazon_electronics,E-commerce,classical_cf_svd,SVD,1011,1.1420340809730354,0.8033178182361497,16580,False,
tripadvisor_hotel,Hotel,baseline_reimpl_cbf_nosentiment,Baseline (global SA),42,0.6138045194834114,0.5054718629275567,11795,False,
tripadvisor_hotel,Hotel,baseline_reimpl_cbf_nosentiment,Baseline (global SA),123,0.625290196386123,0.5133742965867067,11795,False,
tripadvisor_hotel,Hotel,baseline_reimpl_cbf_nosentiment,Baseline (global SA),456,0.6199506675718527,0.5114932759643142,11795,False,
tripadvisor_hotel,Hotel,baseline_reimpl_cbf_nosentiment,Baseline (global SA),789,0.6448781199758452,0.5257260435726911,11795,False,
tripadvisor_hotel,Hotel,baseline_reimpl_cbf_nosentiment,Baseline (global SA),1011,0.6240506279483585,0.5110544811621431,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_cbf_nosentiment,ABSA mean,42,0.7135437138800914,0.5785513009721562,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_cbf_nosentiment,ABSA mean,123,0.7190776754245465,0.5836708198556245,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_cbf_nosentiment,ABSA mean,456,0.716267681131972,0.5794820715836894,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_cbf_nosentiment,ABSA mean,789,0.730106486167881,0.5899156947610777,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_cbf_nosentiment,ABSA mean,1011,0.7161067608737223,0.5800139697437661,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_confidence_mean_cbf_nosentiment,ABSA confidence-mean,42,0.7117610329349435,0.5734585276970849,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_confidence_mean_cbf_nosentiment,ABSA confidence-mean,123,0.709030322261945,0.5740764700665972,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_confidence_mean_cbf_nosentiment,ABSA confidence-mean,456,0.7149870064961665,0.5771642770060186,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_confidence_mean_cbf_nosentiment,ABSA confidence-mean,789,0.7161472400274888,0.5782939737170355,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_confidence_mean_cbf_nosentiment,ABSA confidence-mean,1011,0.7283072250181993,0.5823089784993204,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_concat_cbf_nosentiment,ABSA concat,42,0.6335573392659709,0.5146330229909116,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_concat_cbf_nosentiment,ABSA concat,123,0.6287438193042929,0.5132206751857373,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_concat_cbf_nosentiment,ABSA concat,456,0.6338252613757897,0.5150316538130679,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_concat_cbf_nosentiment,ABSA concat,789,0.6350543832579658,0.515708575845842,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_concat_cbf_nosentiment,ABSA concat,1011,0.6300335939077235,0.5161118552755714,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_concat_confidence_cbf_nosentiment,ABSA concat+confidence,42,0.6273943547492232,0.5110364095615787,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_concat_confidence_cbf_nosentiment,ABSA concat+confidence,123,0.6254316015518938,0.5103048002698448,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_concat_confidence_cbf_nosentiment,ABSA concat+confidence,456,0.628477258870388,0.5114570183549659,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_concat_confidence_cbf_nosentiment,ABSA concat+confidence,789,0.6301745100113078,0.5140109091955694,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_concat_confidence_cbf_nosentiment,ABSA concat+confidence,1011,0.6278307018975587,0.510782447568956,11795,False,
tripadvisor_hotel,Hotel,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment,"No-sentiment floor (BUGGY, do not use)",42,1.4274900527794336,1.0662992793556592,11795,True,buggy_constant_column_nmf
tripadvisor_hotel,Hotel,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment,"No-sentiment floor (BUGGY, do not use)",123,1.5277427161950194,1.3455470345678053,11795,True,buggy_constant_column_nmf
tripadvisor_hotel,Hotel,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment,"No-sentiment floor (BUGGY, do not use)",456,3.1418627275706745,3.006189063162357,11795,True,buggy_constant_column_nmf
tripadvisor_hotel,Hotel,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment,"No-sentiment floor (BUGGY, do not use)",789,1.40152188063813,1.1857944762032804,11795,True,buggy_constant_column_nmf
tripadvisor_hotel,Hotel,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment,"No-sentiment floor (BUGGY, do not use)",1011,3.1418627275706745,3.006189063162357,11795,True,buggy_constant_column_nmf
tripadvisor_hotel,Hotel,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment_fixed_v2,No-sentiment floor (fixed),42,0.9242497576017582,0.7037009726335379,11795,True,fixed_dropped_column
tripadvisor_hotel,Hotel,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment_fixed_v2,No-sentiment floor (fixed),123,0.9483525661799946,0.725345816075444,11795,True,fixed_dropped_column
tripadvisor_hotel,Hotel,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment_fixed_v2,No-sentiment floor (fixed),456,0.9617822873466784,0.7292608000114784,11795,True,fixed_dropped_column
